reviewText,overall,sentiment,word_len,char_len,pred_raw,pred
Works well in my GoPro even though it wasn't one of the GoPro recommended ones.  A good buy that has the speed for movies and big pictures.,5.0,Positive,27,139,Positive,Positive
"If you have a Contour camera you want to use this with. It will not format! Don't even bother.Now I have room for about 16,000 photos. Not what I wanted.",1.0,Negative,30,153,Negative,Negative
"I put this in my Galaxy S4 phone for extra storage and it works perfectly.  I copied my music collection (about 5000 MP3 songs) and put 20 MP4 movies on it with room to spare.  Very handy for listening and watching while traveling on a plane.  The phone likes it, the computer likes it, so I like it.",5.0,Positive,58,300,Positive,Positive
"I have this in my Samsung Galaxy Note 3 and love it. It houses all of my music and pictures without issue. It does seem like R/W speed is a bit slow, but really can't complain.",5.0,Positive,36,176,Positive,Positive
"This Micro SD card is perfect for any smartphone user looking to expand the storage on their device. I personally am using one in my Samsung Galaxy Note 3. Works like a charm. It is adequately fast, cheap, and fairly reliable. If you are looking for extremely fast speeds however, you should consider the SanDisk Extreme series which are the fastest MicroSD cards in the world. My card came with an adapter that this card plugs into and it becomes a full sized SD card. If you are looking to use this in a camera or any other device that uses SD cards, please look elsewhere. These cards are not nearly as fast as the full sized SD cards used in cameras. The adapter should only be used for transporting data from the phone or other device, to a computer. All in all, these are a great buy for any smartphone user looking for a higher storage capacity. The price fluctuates often, so catch em while there cheep! I got mine for around $30.",4.0,Positive,174,938,Positive,Positive
"Price was great, Delivery was on time, now I have plenty on storage in my Gopro Hero 3, The SD card adapters makes things much easier to transfer files to my other devices.",5.0,Positive,33,172,Positive,Positive
"I hate it, it worked fine for 2 months and the after those 2 months it started with problems, first, every once and a while was not recognized by my device, and now 4 months after, I have to pull it out and then place it again in every hour.....It might have been just my microSd problem.... But I wont purchase one of this ever again",1.0,Negative,66,334,Negative,Negative
"I bought this on October 9th and didn't start using it for about a week after I received it on the 11th. Well two days ago it died a quick death, I can't even format it! So after all these years of buying SanDisk products I guess I will give in and start paying a little more for Kingston it seems as though SanDisk is getting to be a cheaply built product. You would think that a product this small and inexpensive would be able to be replaced without cost within the first 90 days but that is my fault for not reading the fine print so lesson learned. Buy it right and buy it once so go with something else!",1.0,Negative,121,609,Negative,Negative
"The item arrive in time, but was unfortunately defective as it would not accept a copy operation. Further investigation led to discovering the card had bad sectors. Refund is progressing without a hitch however, so not all was lost.",2.0,Negative,39,232,Negative,Negative
"I bought this card because my 32GB Sandisk ultra stopped working in my Galaxy S3.  I tried formatting the card, but it didn't work.  When this card showed up, I read the warranty information, and the ultra series has a lifetime warranty! I emailed the company, and they sent me a shipping label to return the card, and my new on is on the way!  I highly recommend these cards!",5.0,Positive,70,376,Positive,Positive
"SANDISK is now processing my RMA.  It was used in my Galaxy Note 2.  Its been over a week since I mailed it out. Fortunately they paid for shipping, but while it was working, it was awesome.. 64 gigabytes of class 10 accessible data, at the hands of your finger tips, literally MICRO SD sized.  wow, how technology has improved.",4.0,Positive,60,328,Positive,Positive
"This died so fast and I barely used it.  in fact, I did not even put anything on it and it died.  My pad recognized it for a few weeks, but when I went to put stuff on it, it was dead.Complete garbage, stay away.",1.0,Negative,45,212,Negative,Negative
14000 reviews and counting !! Do you need any other justification to buy this one if you are looking for a microSD card?? Add to it the reliable name of SanDisk and you are left with no doubts to buy this or not!!! Also its available at almost half the actual price with Amazon (I did check the price at local sellers and no one is selling it that cheaper).Comes with a decent writing speed (good for most shooting/recording devices) and has a very very long warranty (10 years !!!). The technology may take a leap before this one stops functioning on you.Want to use it as a SD card in your camera? No problem. It comes with an adapter with which it can be used in any device that uses a SD card. That makes in two-in-one card!!!!!,5.0,Positive,139,732,Positive,Positive
"The 64GB card I purchased actually contains 4GB of flash memory and some kind of hack that causes it to appear as a 64GB drive in various drives and readers. Of course, this took me a while to figure out since I only just got around to copying more than 4GB of data to the card, but with some testing I have nonetheless discovered this to be the case.The card I bought was in Amazon Frustration Free packaging. I don't know if cards purchased that way are less likely to be counterfeit than retail packaged versions, but I suspect that I will stick with manufacturer packaging from now on.",1.0,Negative,109,589,Negative,Negative
"Spent over $50 and the thing came fast and didn't work.  Neither my computer nor my phone could read it or format it.  I have had plenty of memory cards, so I know to unmount it with software.  Odds are yours will be fine, mine sucked,",1.0,Negative,46,235,Negative,Negative
"This was the fastest microSD card I have tested, unfortunately it died after about four months of use in my Android phone. At first my phone would randomly say the card had been removed, then eventually neither the phone nor any reader I had could access it.The test results from my older but still functional 32gb class 4 sandisk:Sequential Read :  23.022 MB/sSequential Write :  4.460 MB/sRandom Read 512KB :  22.387 MB/sRandom Write 512KB :  3.144 MB/sRandom Read 4KB (QD=1) :  3.414 MB/s [  833.5 IOPS]Random Write 4KB (QD=1) :  1.231 MB/s [  300.5 IOPS]Random Read 4KB (QD=32) :  3.309 MB/s [  807.8 IOPS]Random Write 4KB (QD=32) :  0.993 MB/s [  242.4 IOPS]Compared to this product, 32gb class 10 sandisk:Sequential Read :  41.492 MB/sSequential Write :  15.653 MB/sRandom Read 512KB :  43.380 MB/sRandom Write 512KB :  17.685 MB/sRandom Read 4KB (QD=1) :  4.696 MB/s [  1146.5 IOPS]Random Write 4KB (QD=1) :  1.595 MB/s [  389.4 IOPS]Random Read 4KB (QD=32) :  4.859 MB/s [  1186.2 IOPS]Random Write 4KB (QD=32) :  1.334 MB/s [  325.6 IOPS]",1.0,Negative,174,1047,Negative,Negative
Enough storage to my DSLR.Really low price for a Class 10 card.U can use several of this and make a Linux based SSD.,5.0,Positive,23,116,Positive,Positive
"Love it, good quality good performance, great brand. Could not find better product for my money. Using it for a Samsung Galaxy S4 mini with zero complications.",5.0,Positive,27,159,Positive,Positive
"Beware guys. i bought one of these from Superior Electronics Outlet and it arrived completly dead. i tried to format it on windows and on my galaxy s3 and no go.I tried everything that possible ....have been fighting with this card for 3 days now, and no success so far. No response from the seller about it.My last hope is amazon refund me. otherwise  i just wasted 80 U$",1.0,Negative,69,372,Negative,Negative
"I tested it in several UHS-1 compliant devices and found the write speed at 11-12 MByte/Second. Sounds fine for a class 10 card but this is not what I was paying for. I don't expect it to run anywhere close to UHS-1 interface speed (104 MB/S) but it should be close to 30 MB/S as the manufacturer advertised. I have a lot more choices if I am only looking for a class 10 card.Indeed, microSD cards are usually slower than full-size SD card. They use the same Flash controller so the reason is really microSD cards use slower NAND Flash. Manufacturers know you are not going to use microSD cards in high-speed SLRs so they get to sell you lower quality NAND at a premium. My advice to you the photography enthusiasts is to buy full-size SD cards rather than microSD cards with adaptors.That said, the compatibility is great. It works great with my tablets, PCs, GPSs and phones. That is what I like about SanDisk. They do thorough compatibility tests before product release.",4.0,Positive,174,973,Negative,Negative
"I ordered this memory card for my Drift Ghost-S action camera. I started getting errors and the camera was freezing and saying there was a storage problem. I assumed the camera was faulty and actually exchanged it for another camera. Same errors. I switched to a SanDisk Extreme card and never had problems again.If you're going to be recording HD video, especially at high frame rates then do not get this card. I'm sure it would be fine in any other scenario though, but it's advertised as a class 10/UHS 1 card and it's just not as fast as other class 10/UHS 1 cards.Drift Innovation (the company that makes the Ghost-S camera I use) has stated in multiple support tickets with me not to use any ""SanDisk Ultra cards"" because they do not perform fast enough for the camera and will result in slow card errors. They work ok until you try recording 1080p video at higher frame rates.",1.0,Negative,159,884,Negative,Negative
"Purchased for my galaxie 3 phone and it fits and works. Not much else to say. ok, the price was good.Update 06/24/13It stopped working! All of a sudden my phone started alerting me that the sd chip was mounting and dismounting. Caused the battery to drain in a few hours. Everything on the card was lost. I attempted to re-format in my laptop. Card was not found by laptop.Googled the issue and found many blogs of others experiencing the same problem.I will attempt to return to Amazon.",1.0,Negative,87,487,Negative,Negative
My granddaughter's phone was slowing down. She had a 2gb memory card in it and no room for any more photos. She transferred all 499 photos to this 32gb card and has room for many more. Love making her happy!,5.0,Positive,40,207,Positive,Positive
"Installed this card in my wife's cel phone.  I would have gone bigger but, that's as big as her phone would take.",5.0,Positive,22,113,Positive,Positive
"I currently have all my downloaded music on this car sitting in my surface RT.  I haven't done any measurements on how fast the transfer rate of this card is, but I can tell you that it is fully capable of playing music and videos from the card to my Surface RT with no lag at all.  It was also a very good value as far as price/size/speed ratio.",5.0,Positive,69,346,Positive,Positive
"I run this in my Samsung Galaxy II. Works like a champ and it's really fast. Unless your phone supports exFAT this is as big as you can go. It might find it, but you will only be able to use 32GB...that's why the file system is called FAT32.",5.0,Positive,49,241,Positive,Positive
"After I put this card in my new S4, my camera would hang and just not respond to anything. Some apps also stopped working.  I put in my old 16GB card and everything worked fine.",1.0,Negative,35,177,Negative,Negative
"The card works in the above mentioned phones but I did have to format it using another program downloaded for Windows. Windows will not let you format the card for FAT32 which is the format you need to use for the phones to see the card. The also could not format the cards correctly on their own, but once I was able to format them properly, they worked perfectly.",5.0,Positive,69,365,Positive,Positive
