reviewText,overall,sentiment,word_len,char_len
Got this product and it was fine until it just stopped working...The last one I had that came with my DROID X on release day worked for the whole time since I got it without a hitch...I get this one and it's dead in less than 60 days...I don't know if I got a lemon myself or the whole supply is bad or faulty... All I have to say is I am very displeased!,1.0,Negative,74,355
"It's memory. It works in my phone. I can store files to it. The price was right. If you're looking for 32G, this will do just fine.",5.0,Positive,27,131
I have 2 of these ScanDisk Ultra 32Gb class 10 microSDHC cards.  One for my Acer Iconia A100 Android tablet and one for my Linux laptop to move files around.  I've formatted both differently to make them fit best for their hosting operating system and both are working great.  No issues and great performance.I can stream 1080p movies from these cards without hiccups.I also used one of these cards in my 1080p camera and had no issue whatsoever keeping up with writing speed.Great card.,5.0,Positive,84,487
"never looked to verify the capacity of this card, it is clearly labeled 64gb but when installed it clearly is not. When installed into any computer it shows 27.4gb available with 1.68 used. So beware if you order one to make sure you are getting what you pay for.",1.0,Negative,49,263
"I ordered this card as part of a lighning deal back in November. The card was working fine in my galaxy s3 until a few weeks ago where it would intermittently not be recognized by my phone or my desktop computer and today, 4 months later, it died completely. I guess you really do get what you pay for.",2.0,Negative,59,302
This is just the standard micro SD card i would recommend this to anyone. i purchased this for my dad who is using it to expand the memory on his tablet! it shipped fast and is a slight bit cheaper than in the stores i believe.,5.0,Positive,46,227
"Not ok with GoPro Hero 3+ Black Edition. The speed of this card is below other brands' class 10 standard. When I use this card with GoPro and Pro-tune on, it will stop recording after 20 mins or so. I already returned this item and bought the Samsung class 10 memory card instead.",2.0,Negative,53,280
Hard to know what to say exactly about a memory card except that it does what it should at a good price.  Storage case is sturdy enough.,5.0,Positive,27,136
"This card no longer is readable by three different phones after only six months of very light usage (very few pictures had been saved to the card), where it was never taken in or out of the phone before it showed signs of dying (thus the death was not caused by excessive handling of the card).",1.0,Negative,56,294
"Stores thousands of pictures, and it worked perfectly in my Lumix camera using an SD adaptor.  Recommend to anyone who wants a 32 GB micro SD card.",5.0,Positive,27,147
"Stick this in the slot and forget about it.  Not sure what is being stored on this little thing or when I should remove it from my phone but, hey, it's in there.",4.0,Positive,33,161
Crashed... Lost everything... Thanks SanDisk.  Used in gs4..not a solid product couple years worth of stuff gone in an instant.,1.0,Negative,20,127
"I bought this for my Android phone and it kept stating ""media scanning"" over and over, even when the device was on or not even restarted. I thought it was the phone and was so annoyed. Then did a search and found that several others got a duds from this same batch off amazon. So not only did I pay for this, now I have a useless 32gb card that refuses to hold music on my phone, or anywhere else. I loaded a 4gb card in the same device and it only scans media when restarted and does not lag at all. The phone can hold up to 32 gb too. If you don't believe me, go onto the Sandisk message boards and look. It's a dud. So disappointing.",1.0,Negative,129,636
Haven't had a problem using these with my Hero3 yet. It comes with the little plastic thing to connect to any sd port.,5.0,Positive,23,118
The only reason I give one star is that I cant give zero stars.Just lost all my files in the SD in my S3. I cant believe I trust my valuable information in this company. AVOID THIS ITEM. Dont recommend it.,1.0,Negative,41,205
To be honest i purchased this because my son said I needed it with my tablet...I'm sure it will be fine...,4.0,Positive,21,106
"I bought this on October 9th and didn't start using it for about a week after I received it on the 11th. Well two days ago it died a quick death, I can't even format it! So after all these years of buying SanDisk products I guess I will give in and start paying a little more for Kingston it seems as though SanDisk is getting to be a cheaply built product. You would think that a product this small and inexpensive would be able to be replaced without cost within the first 90 days but that is my fault for not reading the fine print so lesson learned. Buy it right and buy it once so go with something else!",1.0,Negative,121,609
"I didn't  even have this card installed in my Motorola  Razor HD for 6 months when I turned my phone on yesterday and got a message stating I removed my card before properly unmounting it first even though it was still installed. I plugged it into my PC adapter and nothing! I lost about 300 documents and over 500 pictures, but i'm glad that I just backed up everything 2 weeks ago. Worked great until it died far to soon and without any warning at all. Be sure to backup all your important data frequently!",1.0,Negative,95,508
"Haven't used it yet.  It's my first encounter with a Micro.  Appears to be a quality product, though instructions for using the adapter would be welcomed.  Good cost and fulfillment.  Expecting it to function as advertised based on SanDisk's track record at our house.",4.0,Positive,44,268
"Not much more to say, really. Work, is faster than my Class 4 16GB card and provides the space to copy DSLR photos (when I hook the phone to my Nikon 5100 with the USB host cable)",5.0,Positive,37,179
"I'm so disappointed in SanDisk. I bought this for my Galaxy S3 phone. Worked great for the first few months. Suddenly I noticed some pictures were missing. Then it kept giving me an error that the 'SD card has unexpectedly stopped working' then i tried popping out the card and popping it back in. Now it says unrecognizable files and it asks to format the mp3's I had bought and stored on the microsd card. In a pinch just to see if this would fix my issues I formatted the disc. Now I lost everything and it is still giving me issues. Read some similar issues from other customers, now I'm regretting my purchase. Save your money and headaches and buy something else!",1.0,Negative,123,669
"Thus microSD card worked fine for a year in my Samsumg Note II. I mostly used it to listed to downloaded music from Spotify. It has actually failed &#34;twice&#34;. When it failed the first time (the phone couldn't &#34;see&#34; that I had a card installed) I thought maybe something had merely corrupted it, so I formatted it, put it back in my phone, and re-downloaded all my playlists. It worked for two months and then failed again. I don't plan to try formatting it again, I'll switch to a different brand of card.",2.0,Negative,93,519
"Lots of capacity, no problems with loading it up, and no issues with corruption.  Transfers and access are fast and you really can't beat the price for a name-brand card.Not much more to say... it's a memory card that works :-)",5.0,Positive,41,227
"I hope you have better luck, it has gotten a lot of great reviews, but first the sticker(!) covering the contacts on the back fell off, then the card died completely. Hopefully it's an isolated incident, but I'm trying a different brand in case its a bad batch.",1.0,Negative,48,261
"So far, so good.  It does what it's supposed to do.  Doesn't seem any faster or slower than any other micro SD card I had.  Bought a cheap imitation on Ebay and regretted it as it crashed.  It really doesn't pay to be cheap with memory.  It's all about the reliability, which you get with this product.10/17 Update:  Big problem with this SD card if you are a Windows Phone user - does not properly record HD video.  Video recording to SD card is consistently choppy.  Pop in another SD card - records fine.  Record to my phone - records fine.  I've tried formatting it every which way and it isn't working well.  Go with another brand Windows Phone users.",2.0,Negative,120,656
"Ordered two of these and none works w my Cell Phone, Audio player or Camera.Guys, you have a problem......................................................................................",1.0,Negative,19,186
"This will work on an I717 note, just need to know how to get it to work,they say that the note can only go up to 32 gigs but that is not accurateI got this one to work on the note 1just format this with your computer with fat32 32kband presto you now have a lot of space for whatever you wishjust download the free version of easy US partition master and format the card using the settingsFAT32 with 32kbit worked for me",5.0,Positive,83,420
Great to have the additional capacity for storage. And the card is fast. Working great and the price was great also!,5.0,Positive,21,116
"I got this for my Samsung Galaxy Tab 7.7 (p6800) and it worked great for about 3 weeks - September 18 through today, October 7.  It just died while I had the tablet attached to my PC and was copying another file onto it, so I've changed my rating from 5 stars to just 1 star.  I'd give 0 stars if I could.  Another user warned me that this had happened to him after 4 1/2 months, but 3 weeks?!?!?!?!?  I've reported this to Amazon and asked for a refund.Stay as far away from this card as you can, at least for the Galaxy Tab 7.7.UPDATE:  Amazon refunded my money for this card, and I replaced it with the Samsung equivalent, which is STILL working perfectly.  Don't waste your time and money on this card - get the Samsung.",1.0,Negative,139,724
"Super fast access to my Samsung Galaxy Note II. SanDisk Ultra Micro HC is blazing fast compared to the other microSD cards I have bought including PNY, Sony and more!",5.0,Positive,30,166
"I just called Sandisk and they say they have a new card version that corrects the problem. 1-866-SANDISK (726-3475)Sandisk Tech says that the new package will show that the card is made after March, 2013 (don't know if that includes March, but probably does), and it should be corrected. Some older than late 2012 reportedly are ok.  Who knows.They even say that they will provide a free UPS return label.Of course, you are taking a risk as to whether the problem is really fixed, so keep backups.  I don't know what I would do.",2.0,Negative,94,528
I bought this memory card because I love to have a lot space in my fhone o or computer and seems to work very well i love it. i recommend this product!,5.0,Positive,32,151
"I think I got 8 or 9 months out of this before it started to fail. It is still working intermittently but my phone will suddenly stop being able to read it for no apparent reason. &#34;Designed for durability&#34; my foot. It might survive in salt water but it didn't survive in a phone that, frankly, doesn't get a whole lot of use. This is the first Sandisk product I've ever had fail on me. It may still be under warranty but I don't care. Now that I have to replace it I'm going to go with another brand.",2.0,Negative,99,508
"I get randomly error messages with my nokia808, ""disk error-"" and the card stops working, its so, so sad.. I bought a cheap 8gb micro sd class 4 that works better than this :(",1.0,Negative,34,175
My Galaxy s3 (and me) couldn't be happier- good price arrived quickly and what can I say - it does what its supposed to do!,5.0,Positive,25,123
I ordered this to use with my new Samsung Galaxy SII phone.  I've used SanDisk in the past and have always had great luck with their products. I would definitely recommend this product.,5.0,Positive,33,185
Either it is the wrong chip or a false reading by the device because the data displayed consistently is &#34;insert ..&#34;,1.0,Negative,21,123
"I slipped this into my smartphone. Lots of space for photos, and movies on the go at a great price.",5.0,Positive,20,99
"I bought this for a Note 3, but I am still waiting for Verizon to ship. Meanwhile it works great with my Note 2.",5.0,Positive,24,112
"If you have a Contour camera you want to use this with. It will not format! Don't even bother.Now I have room for about 16,000 photos. Not what I wanted.",1.0,Negative,30,153
"I bought this card because my 32GB Sandisk ultra stopped working in my Galaxy S3.  I tried formatting the card, but it didn't work.  When this card showed up, I read the warranty information, and the ultra series has a lifetime warranty! I emailed the company, and they sent me a shipping label to return the card, and my new on is on the way!  I highly recommend these cards!",5.0,Positive,70,376
"Used this micro sd card in my Samsung Galaxy Tab 2.  Was watching a video stored on the card while ago when the video quit playing, and the message &#34;Sorry, this file cannot be played&#34; appeared on the screen.  Checked ES File Explorer and found that all the apps, movies, music, etc. I had stored on the micro sd card were gone.  The card was apparently totally blank.  Inserted the card in my desktop computer, and the computer said that the card had to be reformatted before it could be used.  Tried to reformat it to NTFS, ex-fat, and fat32. Each time the computer said it was unable to complete operation.  Guess this card is dead after a little over 4 months....",1.0,Negative,122,674
"I was able to plug it in, use the format utility and it worked just fine (this is on the galaxy s3).  Now every ounce of my ripped CD's are on my phone with 32gb  to spare.  Not much else to say.",5.0,Positive,42,195
I could not get this brand of memory card to work in my Roku.  It would not format correctly.  I had to return this for another brand which worked ok.,2.0,Negative,30,150
"Its going back because it doesn't meet spec.Tested with  H2TestW, write speed is only 9.69 MB/s. Read speed is good at 18.80 MB/s. (although Sandisk claims up to 30MB/s)Meanwhile, a class (10) 32GB Transcend SD card I have writes at 15.30 and reads at 18.20.I also have a few class (6) 4GB Sandisk microSD cards writing at 15.40 and 15.50. Reading speed is 18.40 and 18.30.I also have a class (4) Kingston card that beats this class 10 Sandisk.",2.0,Negative,79,444
"I am hoping that I received a defective product and that my experience is rare, but this product did not work as intended. I was replacing another 32G micro sd card thinking that, because this is a Class 10 rated product, it would be faster. It never worked correctly. It kept dismounting unexpectedly, losing data, and was just not worth the money AT ALL! I ended up using my slower rated product which has worked reliably since the day I bought it. I only wish this product had done the same.",1.0,Negative,91,494
"Bought this for my Samsung Galaxy Legend phone so I can store all my pictures and videos, works like a charm.",5.0,Positive,21,109
I was better off with my 32gig card.  This thing was nothing but problems.  The phone does not see it half the time and it is SLOW.  The phone keeps asking to Re- format it.  I got it to see the card after a reboot.  It is still SLOW.I will be buying the Samsung 64gig card for my Samsung Galaxy Note 1.  I have seen good things from Samsung.,1.0,Negative,69,342
"class 10 is about the best there is and SanDisk hasn't let me down, except that one time when a lock/unlock broke off of a 32gig SDHC card I once bought. Well, out of about a hundred different memory cards I'de say that ain't a bad run. This works GREAT in my son's/wife's touch pad. If you can get one on sale they are GREAT!",5.0,Positive,65,326
"I have been using it for over a month now, works well with my Samsung Galaxy Note 10.1 tablet. Excellent speed, Do recommend it.",5.0,Positive,24,128
"Bought October 7th. Passed away December 23rd. RIP.I didn't really even use it because of the built in storage on my GS3. I had about 15 gb of music and movies on it, but only for when I was unexpectedly bored and without my zuneHd. On to the next brand I guess.",1.0,Negative,52,262
"Using in a Surface Pro's microSD slot.  I even reformatted to NTFS (which they claim is not recommended) in order to set up a virtual disk file on it and 'automount' that virtual disk upon startup so that my music library can be on this (Win 8 is kind of picky about letting you set up what it considers 'removable' volumes as directories to be auto-scanned for libraries, and this is one workaround.)Amazing to me that something the size of my pinky nail can hold my entire music collection at a nice high bitrate, and still have much more room left over.  One star off because its a tiny bit slow to write to but that might not be fair since I'm comparing to full-size SD and I did reformat, as I said.",4.0,Positive,133,704
What can you say beyond the headline.  It works as expected.  I would buy more when I need reliable storage.,5.0,Positive,20,108
after 4 months it stopped working i got a new one form SanDisk but I'm very apprehensive to put it on my phone.,1.0,Negative,23,111
Best card for an 808 #26. Gives you 2.5 charge cycles worth of recording without having to dump memory. But ya 32gig is better!,5.0,Positive,24,127
"i still own it but card went bad after 2 weeks of owning it, lost tons of music and data ect and lost all faith in sandisk products. i tried to get it replaced or money back but no return email from seller, so unhappy i lost over 20gigs of movies/music and data. wish there would have been a reply from seller or amazon but i still have a dead sdcard with all my files stuck on it.",1.0,Negative,78,381
This works with the NL1520.  No video stuttering like with the 64gb.  Blah blah blah blah to fill in the rest.,5.0,Positive,21,110
Worked fine in my Samsung S4 for one year.  Then it stopped allowing writing to the card.  Would not format even on a PC or with another device.  The data is still there but cannot be erased.,1.0,Negative,37,191
I would recommend this memory card to anyone. It works well with my tablet. I have no problems with it.,4.0,Positive,20,103
I loaded this memory card into my TF700T and could not get it to install. I found it to be a format issue and could not reformat it to get it to work. I sent it back and got the class 10 sandisc card ( non ultra ) and it loaded perfactly.,2.0,Negative,52,238
"I have lately purchased two micro-SD card one Sandisk Ultra 64GB microSDXC and 1 Sandisk Extreme Pro microSDHC 16GB. The first one claim 30MB/s the second claims 90-95MB/s. I 5 tests on my Galaxy Note 2 and 3 different benchmark test on my computer using USB 3.0 card reader. I can only get 7-8MB/s (this not even class 10, let alone UHS-1). I even did real world testing by copy a large set of data (2GB of photo).The result is no different. I do own Sandisk extreme SDHC card on my T3i and I do get 65MB/s of transfer rate. I strongly recommend consumers to test their premium (UHS-1) microSD. I felt very disappointed on Sandisk. I will try other brand like Samsung, Patriot or Lexar.",1.0,Negative,126,687
"Purchased for my galaxie 3 phone and it fits and works. Not much else to say. ok, the price was good.Update 06/24/13It stopped working! All of a sudden my phone started alerting me that the sd chip was mounting and dismounting. Caused the battery to drain in a few hours. Everything on the card was lost. I attempted to re-format in my laptop. Card was not found by laptop.Googled the issue and found many blogs of others experiencing the same problem.I will attempt to return to Amazon.",1.0,Negative,87,487
"forget loading this into your cart.  a one day pause and this junk went up 16.99, in ONE DAY.  I don't give money to aXXholes.",1.0,Negative,25,126
"It appears that the 32GB SanDisk Ultra Micro SD Card I purchased from Amazon was defective.  I installed it in my Samsung Tablet, but could not successfully transfer files using either a USB cable or WiFi.  The file transfer would appear to start, but then would slow down and hang completely.  It did this on every one of multiple attempts, with different file types, and numbers of files ranging from many to just a single file.  I tried loading files onto the card directly from my PC, but then the Tablet would not see them.  I tried reformatting the card both in my PC and in the Tablet, but still got the same result.  After a few tries, the Tablet would appear to format the card but then tell me that the card was blank/unformatted.  I did an A/B/A with an old 8GB Sandisk Micro SD Card that I had laying around.  It worked perfectly -- formating, transferring files, reading and writing files -- everthing worked.  I put the 32GB SanDisk Ultra Card back in the Tablet, but had the same problems again.  I concluded that the SanDisk Ultra card was defective and returned it.  I'm still using the old 8GB card without a hiccup.The good thing was that Amazon's return policy was quick and painless.",1.0,Negative,216,1204
"It is good, and can work well in my Canon Powershot 520, but can not be  used to make vedio in my Canon T3i. I do not know why.",5.0,Positive,29,127
"SanDisk is one of the top brands for removable memory. As expected, this worked right out of the package. I use it with my GPS.",5.0,Positive,25,127
"I use it on my phone, it works well enough. Android doesn't like to use the card by default, so I have to move things manually, but that's beside the point. The card works well.",5.0,Positive,35,177
I use this on my small ASUS 10.1&#34; notepad to get a little extra storage space.  Installs well and works great.  Just be sure you orient it right when inserting it without and adapter to protect it in a small slot like the one that comes with the ASUS.  Thought I was going to break it since it is so tiny and looks so brittle - but got it in ok.,5.0,Positive,71,349
good memory card. no issues. works as it should. price is great when you are able to find it on a lightning deal!,5.0,Positive,23,113
"I have to assume that the brand new 64gb SanDisk Ultra Class 10 SDXC card is responsible for the occasional video recording stutter/pausing that has happened since I started using it today.  Prior to that, never had an issue with my previous SanDisk SDHC card.  But today on its maiden trip, it has led each video (only 3-5 minutes long each) to have several performance issues that by default I have to attribute to the card since nothing else has changed and I've never had an issue in the four months that I've had my Galaxy Note 2.  No problems formatting this card though or installing/using it otherwise.",2.0,Negative,108,610
"Works well in mySony PCM-M10 Portable Linear PCM Voice Recorder with Electret Condenser Stereo Microphones, 96 kHz/24-bit, 4GB Memory & USB High-Speed Port - Black",4.0,Positive,25,163
"This card was dead on arrival and did not work whatsoever. When copying files to it, the transfer speed was below 1MB/s and then when I would eject the card the contents I just transferred would be lost. The card refused to format, I got an error message that the lock was on when it was not. Definitely a dud. I exchanged for a Kingston card of the same size which worked and still works flawlessly.",1.0,Negative,76,400
"I got this to use in my Acer Iconia W510-1422. When I went to format it it only shows it as a 27GB. I put it in one of my other computers to double check. YUP oddly 27GB. Fluke? Miss representing? Did I get a bad unit? Not going to return because packaging is gone and not interested in paying for the return. It works, it is fast, no issues, but only 27GB.",2.0,Negative,73,357
randomly died out of nowhere. i have the camera on for about 2 min and the card worked. turned the camera off and back on a few min later and the card no longer worked. I have no idea what happened but this seems to be a common problem with these cards.,1.0,Negative,52,253
"So far my experience with all SanDisk memory products has been nothing but excellent. They work in all products I've tried them in and are reliable. I have two of the 32GB cards, one is used in Samsung Galaxy S and the other in Sony Nex-5 camera.",5.0,Positive,47,246
"I had bought the 32GB card here on sale.  It ran great for the first 4 months.  This afternoon it unmounted from my Samsung SGS III.  I powered the phone down, re-seated the card, powered up and it was still not recognized. Powered back down, pulled the card and popped it into the computer and it showed a single partition of 0 bytes. Mounted the card back into the phone and booted into recovery (my phone is rooted with CWM), where I double checked that it could not be mounted or formatted. I then tried to re-partition the card but no luck. Phone is back up and running fine on a spare 8GB card so no problems there.  It doesn't matter how good or how fast the card is if it dies this quickly. I had most of my stuff backed up so no major loss, but I am out the cost of the card...",1.0,Negative,155,786
"No way to format it. I even downloaded 2 programs that claimed were able to format it, After wasting about 6 hours, I decided to give up and send it back, The seller should format them before sending them, even if they would charge $5. extra, it would be well worth it instead of the hassle of downloading programs and wasting time trying and sending it back after hours of frustration.",1.0,Negative,71,386
"Losing pictures, video, and tunes after 9 months on a Samsung Galaxy Note 2 (stock android).  Looks like this is a common problem.  I will try my luck with Sandisk on Monday.  If I don't get a replacement, I will never buy a Sandisk product again.  I paid the premium for ""Sandisk Quality.""  I am very disappointed.UPDATE:Sandisk will be providing a replacement SD CARD.  However, my data loss and downtime cannot be replaced.  SanDisk lost their ""premium rating"" in my eyes. It's going to take a while for them to get it back.",1.0,Negative,93,527
best best best productreliableown a fewone isnt enoughgood price I guesswill prob buy more at some point,5.0,Positive,17,104
"SanDisk continues its legacy with this high-speed microHD card. A definite must for your tablet or smartphone, provided it accepts external memory cards. Then again, why would you buy one that doesn't?",5.0,Positive,32,201
Failed after a year!,1.0,Negative,4,20
"bought it for my z10. now i have 6 seasons of tv soaps, over 1000 hi res pics, several short home vids and my entire music library with room to spare",5.0,Positive,31,149
This is my second time to buy this product and will give it as a gift to my friend. Packaging is nice and received in good condition.,5.0,Positive,27,133
"I haven't done any formal benchmarks, but the device seems pretty slow. I haven't seen any real performance boost vs. my old card even on bulk file copies. I have another 8GB samsung card that may be a knockoff that performs noticeably better than this card.I'm using it anyway. I don't really have the time to return it or anything.",2.0,Negative,60,333
"I bought this to store all my music on my phone, but it doesn't work. The phone has trouble reading from the card, and I keep having to reformat it. Buy one from Sony or some other company instead, especially if you have a GS3",1.0,Negative,45,226
holds a lot of memory. slides right into my car cam with no problem and easy to get out as well,5.0,Positive,21,95
"I was working with a three of these cards using the included adapter, and thought they were slower than they should be.  I just bought a full size Sandisk Ultra 16GB class 10 (all the same specs except size theoretically) for a different project, and it writes over twice as fast on the same computer! The write speed on this card is between 7 and 10 MB/s, the read seems to be 35MB/s, compared to the full size card with write speed of 22 to 25MB/s and a read speed of 42MB/s (this is from an imaging program, not a benchmark program, so it's not checking different sizes of transfer and the like).  Compare that with a Transcend 4 GB Class 4 card, the write speed is nearly identical (7 to 9MB/s), while the read speed on the class four is 12 to 13MB/s, significantly slower, as expected.The read speed is good, but the write speed is abysmal!  If it says ""Class 10"", it should be somewhat close to the Class 10 spec.I'm returning them.",2.0,Negative,175,938
"Could not figure out why this card crashed multiple times in my Samsung Galaxy SIII, and demanded a reformatting. Then after 5hrs of calls to Sprint & Samsung I got a guy who reads factory stuff!Samsung Galaxy SIII is a Class 4 & Class 6 supported Motherboard, with Qualcomm processor. The Sprint stores only sell Class 4 memory, and there is a reason that Camera memory~Class 10 is not sold there, the board, just like in a PC, has to support the data stream. It does not!If you have an Android Phone you better make sure the motherboard supports it! Even Samsung's USA website does not tell you the board supported memory! They won't, and don't tell who the board manufacturer is in this Galaxy SIII phone. I asked at the Texas Samsung advanced tech support center after 1hr on hold, and they had no specs to even share. They don't get it!PASS IF YOU HAVE A CELL PHONE, UNLESS YOU GET IT IN WRITING FROM THE MOTHERBOARD MANUFACTURER OF YOUR PHONE. I went through this same stuff building custom PC's with Intel motherboards. Memory has to be built to run on this board, at this speed, with this processor, or it will not work properly, and will crash, and lose data.",1.0,Negative,212,1168
I purchased four (4) items from amazon and when I opened the box my 32gb memory card was missing. So rating this product is truly impossible,1.0,Negative,26,140
"I bought this to because I wanted to upload music to the disk for my off the computer listening, this does not support music files so I have no need for this. I've tried hooking it up with the Flash card it came with, I've tried putting it in my phone and hooking my  phone to the computer, I've tried through my mp3 player...nothing. I can't even get Windows Media to recognize the flashcard. If you're looking for more storage for portable music don't buy this.",2.0,Negative,86,463
"If your card gets hot enough to be painful, it is defective and you need to contact SanDisk!From my experience, the larger micro SDs run hot on format and writing, but not to the pain threshold!I purchased one of these cards to use in a camera and Android tablet.  Great read speed but write speed was okay.  Used card for about two weeks and then all my files disappeared!  Tried to format the card and three different computers with XP, Windows, and Linux couldn't format it.  The camera and tablet couldn't format it.  I RMA'd it and got another because SanDisk is a good brand.  I did notice that when formatting or writing the card it got hot, very hot.Second card didn't last 24 hours and had the exact same symptoms as the first card.  Write a file or format it resulted in the card getting hot enough to reach the pain threshold.  I called up SanDisk and while explaining this was the second card I'd received with the exact same symptoms, when I mentioned it getting hot, they immediately issued me an RMA.  They said they were told to issue an RMA the moment they heard a card ran hot.Smaller SanDisk micro SD's or regular SD's I have or use don't do this.  I think SanDisk has an issue with this card.The last 4 digits of the part number refer to the date code and origin of the card.  Both cards had different date and origin codes.",1.0,Negative,248,1344
"Works great in a Samsung Galaxy S3.  Formatted straight away, full size there.  I can't really tell the speed difference between this one and a slower card it replaced.  I guess the IO in the phone can't take advantage.",5.0,Positive,39,219
Sandisk finally admits that defective micro sd cards cause battery failure in the galaxy s3. I had  mine about six months before it failed completely. I submitted complaint to sandisk and await their response.,2.0,Negative,34,209
"I used this sd in my psp (with an adapter) and works fine, all the games stored into this memory ran perfectly without lags",5.0,Positive,24,123
